name,latitude,longitude
Zerhusen,52.65,8.23
Zerf,49.6,6.68
Zerbst,51.96,12.08
Zerben,52.35,11.95
Zeppernick,52.12,12.02
Zeppenheim,51.30,6.75
Zeppenfeld,50.78,8.02
Zeppelinheim,50.03,8.61
Zeppelindorf,47.66,9.46
Zepkow,53.30,12.49
Zepfenhan,48.19,8.71
Zepernick,52.65,13.54
Zepelin,53.83,12.04
Zenzing,49.18,12.43
Zenting,48.8,13.26
Zentendorf,51.28,15.02
Zentbechhofen,49.76,10.89
Zens,51.93,11.72
Zennhusen,54.27,8.97
Zennewitz,51.18,12.93
Zennern,51.10,9.31
Zenkenlohe,49.90,11.79
Zengerott,51.63,7.89
Zengeröd,49.43,12.46
Zengermoos,48.27,11.74
Zengerhof,49.63,12.44
Zendscheid,50.1,6.6
Zenching,49.24,12.82
Zempow,53.20,12.73
Zempin,54.06,13.95
Zemnick,51.86,12.84
Zemmin,53.92,13.25
Zemmer,49.9,6.7
Zemitz,53.97,13.75
Zembschen,51.14,12.09
Zelz,51.61,14.76
Zelz,49.27,12.75
Zeltingen,49.95,7.01
Zeltendorf,49.18,12.84
Zellwies,47.8,11.46
Zell-Weierbach,48.47,7.98
Zell unter Aichelberg,48.64,9.57
Zellsee,47.86,11.05
Zellschen,51.09,11.97
Zellrüglingen,49.36,10.61
Zellingen,49.89,9.81
Zelliner Loose,52.74,14.33
Zell im Wiesental,47.70,7.85
Zellhub,48.41,12.78
Zellhausen,50.01,8.99
Zellhausen,48.42,11.75
Zellewitz,51.64,11.72
Zellershub,48.19,12.03
Zeller See,47.71,8.98
Zeller Schweinegg,47.61,10.56
Zellers,47.53,9.96
Zellerreit,48.02,12.14
Zellerhof,48.0,9.65
Zelleracker,48.33,8.46
Zellendorf,51.89,13.06
Zelle,50.58,12.70
Zellberg,52.38,10.53
Zell an der Speck,48.80,11.19
Zell an der Rot,48.02,10.04
Zell am Neckar,48.72,9.35
Zell am Main,49.81,9.86
Zell am Harmersbach,48.34,8.06
Zella-Mehlis,50.65,10.66
Zell am Andelsbach,47.96,9.25
Zella,50.65,10.67
Zella,51.28,10.37
Zella,51.06,13.27
Zella,50.87,9.25
Zella,50.68,11.52
Zella,50.67,10.10
Zell,49.67,8.64
Zell,50.72,9.19
Zell,50.51,9.62
Zell im Fichtelgebirge,50.13,11.82
Zell,50.09,10.24
Zell,50.02,7.18
Zell,49.96,10.56
Zell,49.72,8.99
Zell,49.64,8.13
Zell,49.35,9.94
Zell,49.14,11.18
Zell,49.07,12.79
Zell,48.99,13.28
Zell,48.98,11.59
Zell,48.97,9.46
Zell,48.90,13.13
Zell,48.74,9.64
Zell,48.71,11.24
Zell,48.69,8.06
Zell,48.62,12.02
Zell,48.53,13.19
Zell,48.49,12.76
Zell,48.49,11.41
Zell,48.39,13.28
Zell,48.20,9.50
Zell,48.17,11.00
Zell,48.09,12.09
Zell,47.98,11.44
Zell,47.89,10.20
Zell,47.86,12.02
Zell,47.69,11.31
Zell,47.60,10.58
Zell,47.57,10.02
Zeitz,51.04,12.13
Zeitlow,53.95,13.11
Zeitlofs,50.26,9.67
Zeitldorf,48.84,12.87
Zeitlarn,49.33,12.39
Zeitlarn,49.07,12.11
Zeitlarn,48.64,13.05
Zeitlarn,48.61,13.19
Zeitlarn,48.13,12.66
Zeititz,51.34,12.66
Zeithain,51.33,13.33
Zeitenbach,50.88,7.91
Zeiten,54.30,13.31
Zeißigschenkriehbig,50.86,14.76
Zeißig,51.42,14.27
Zeißholz,51.38,14.14
Zeißau,49.60,12.20
Zeislhof,48.81,12.26
Zeiskam,49.23,8.24
Zeisholz,51.36,13.89
Zeisertsweiler,47.57,9.74
Zeisenried,48.54,10.78
Zeisenbronn,49.69,10.47
Zeisdorf,51.24,11.44
Zeischa,51.50,13.42
Zeinried,49.49,12.36
Zeilsheim,50.1,8.5
Zeilling,48.50,12.75
Zeilitzheim,49.89,10.27
Zeiling,48.44,12.38
Zeiling,48.13,12.43
Zeilhofen,48.28,12.10
Zeilhard,49.84,8.79
Zeilfeld,50.41,10.63
Zeilern,48.20,11.92
Zeilding,48.33,12.0
Zeilbach,50.63,9.15
Zeilarn,48.3,12.83
Zeil,50.00,10.59
Zeil,48.56,12.86
Zieglbach,48.36,11.10
Zeigerheim,50.70,11.29
Zeidelweide,50.55,12.03
Zeickhorn,50.22,11.04
Zeichen,50.94,14.00
Zeicha,51.23,13.11
Zehringen,51.76,12.02
